FCFS,WFP3,UNICEF,SPT,SAF,SEX,QUI,QUA,CUB,SQR,LIN
12815.676945,11087.819631,7414.622997,7758.354826,1325.172587,12099.076032,11231.047809,8894.950093,2755.570841,11297.719672,1643.989339
9455.254417,7719.041956,3838.621102,3965.402895,52.162369,9436.013291,8797.230481,4406.445756,3811.693652,6607.385524,458.169535
1005.595438,183.032444,140.318852,7.38383,9.079263,1017.99674,439.926517,636.979357,15.334286,635.388731,4.921112
4726.81419,3852.680566,2163.714256,1667.359014,7.425261,5386.12411,5009.614382,3355.049426,1078.471661,3959.67279,10.514843
3068.845183,1522.438218,277.151158,151.795032,4.744829,3281.964101,2860.822261,1449.022394,157.659742,1806.982198,12.298127
12929.476441,10769.497405,6259.138187,5646.670287,139.123215,13837.563621,11601.61744,8905.494558,4303.52412,9446.18189,873.542596
3357.649884,1786.122219,1113.6155,336.915861,8.968978,3592.715174,2747.140211,1812.171206,790.137596,2641.582765,14.669798
12470.690075,9387.933254,6021.364438,6331.994585,994.035477,12224.399117,11963.734758,5133.331203,1595.533123,9726.203327,821.946374
9433.885607,7455.679214,6015.598056,4183.238393,556.257279,10490.045099,9304.404626,5679.8193,1536.806632,7458.29467,412.008769
5235.320226,3166.83628,2411.587824,1557.503404,7.631633,5111.546131,4355.273253,3032.813278,1005.278693,3726.339453,13.353632
9377.038095,7211.835159,5904.563874,4054.297205,805.369419,10490.563255,7266.936449,6145.620558,2614.780017,7258.003593,1260.155773
6734.488496,3696.860423,3563.643562,1423.758324,8.580478,4642.708884,6074.192946,4902.059303,1107.633213,4680.293689,41.547511
4000.493071,946.968369,1638.330912,238.666696,16.674225,3808.315492,4099.299814,1661.448911,24.600693,1973.378885,34.949532
5806.259748,4038.67771,2818.456518,2370.286139,10.371684,6083.638412,6434.222259,5005.832947,1490.646389,5902.872816,13.072101
5571.771012,2980.661993,3066.593868,639.50412,10.798069,3973.503687,4136.016335,1908.702956,877.921482,3037.006604,13.421933
6726.049529,4555.261395,1685.127117,1450.937114,6.993166,6008.545405,5616.352838,3803.299205,933.672726,4065.412515,15.635942
10286.247085,8400.850603,4615.919484,4840.949922,78.939657,10896.41183,10227.666056,5105.507874,3611.493235,7719.070726,182.400489
11109.293596,8884.948525,4043.507271,4102.313774,246.476359,10290.949899,9312.011799,4679.087504,1323.570248,7901.42892,725.468391
4889.923703,4252.902024,2296.711454,1751.024899,20.469384,4936.250184,4216.434012,2869.163527,1233.999466,3188.468455,30.39587
14660.251656,11581.875209,7226.469124,7774.291865,2926.886377,13845.689624,13302.320286,10156.163528,4671.718844,11359.922106,3091.365741
1281.526909,414.804703,186.829199,47.740849,12.957622,1306.58968,637.513672,912.746562,25.360703,1103.31933,11.393015
3814.929518,2029.334684,1389.111063,1580.963334,17.933333,3361.122553,3752.26525,2468.563961,2272.921607,2801.508739,23.86368
5424.429263,4128.327824,2435.337893,2324.067909,9.511284,5402.934724,4779.539445,3545.014331,1769.982453,4509.561919,15.175039
7087.145067,5824.851564,3764.954434,2909.877906,46.807947,7611.121872,6567.287839,5435.822122,405.771229,6544.013718,118.69133
7466.538947,6029.793173,3657.042034,1581.879307,235.528968,6677.068592,7722.60704,4845.485647,1793.593513,7892.640492,461.887868
10436.160672,7639.172066,6150.156512,5674.622142,994.944281,9526.764716,10231.487589,7267.075916,4624.383264,9603.192908,1743.246868
